
Node ID,Coordinates,Initial Energy,Residual Energy
156,(402 483),8.99472,8.99472
157,(476 315),8.53984,8.53984
158,(281 118),6.76595,6.76595
159,(349 317),6.26362,6.26362
160,(249 200),7.52709,7.52709
161,(246 166),5.76922,5.76922
162,(17 207),9.69558,9.69558
163,(77 139),5.18693,5.18693
164,(270 217),8.81085,8.81085
165,(113 110),8.21314,8.21314
166,(314 258),5.43168,5.43168
167,(240 389),7.15018,7.15018
168,(140 459),8.78368,8.78368
169,(325 158),9.92477,9.92477
170,(52 109),9.09772,9.09772
171,(331 441),7.86843,7.86843
172,(311 436),6.67547,6.67547
173,(391 14),8.67565,8.67565
174,(97 57),9.77874,9.77874
175,(122 428),9.00037,9.00037
176,(473 250),7.13248,7.13248
177,(152 263),6.74734,6.74734
178,(341 387),9.7409,9.7409
179,(491 283),7.38411,7.38411
180,(36 237),6.49068,6.49068
181,(352 328),9.66414,9.66414
182,(197 8),9.28343,9.28343
183,(183 292),7.13309,7.13309
184,(23 386),6.79388,6.79388
185,(296 152),5.83331,5.83331
186,(54 236),7.07099,7.07099
187,(93 220),8.81314,8.81314
188,(222 249),8.64895,8.64895
189,(102 476),7.5634,7.5634
190,(185 75),8.28669,8.28669
191,(13 199),7.41737,7.41737
192,(233 475),6.51448,6.51448
193,(148 75),6.42598,6.42598
194,(258 108),5.45137,5.45137
195,(475 152),8.36024,8.36024
196,(488 97),7.51244,7.51244
197,(335 227),8.43455,8.43455
198,(45 390),9.25474,9.25474
199,(121 238),8.20551,8.20551
200,(24 348),7.36122,7.36122
201,(161 438),7.00476,7.00476
202,(24 375),9.23582,9.23582
203,(1 233),9.3524,9.3524
204,(5 229),9.51964,9.51964
205,(205 357),9.167,9.167
206,(328 167),6.66585,6.66585
207,(14 22),5.39201,5.39201
208,(144 247),6.1388,6.1388
209,(333 396),8.00043,8.00043
210,(330 249),9.46791,9.46791
211,(69 377),6.3599,6.3599
212,(186 3),6.91473,6.91473
213,(236 27),6.75542,6.75542
214,(486 133),6.52303,6.52303
215,(451 392),5.59709,5.59709
216,(274 452),9.43327,9.43327
217,(106 47),7.63497,7.63497
218,(326 494),6.20579,6.20579
219,(490 121),7.44285,7.44285
220,(399 79),7.10456,7.10456
221,(161 208),5.70254,5.70254
222,(414 357),6.48961,6.48961
223,(136 31),7.47551,7.47551
224,(497 193),8.27876,8.27876
225,(74 217),5.8861,5.8861
226,(457 74),6.47114,6.47114
227,(191 253),9.52147,9.52147
228,(237 127),7.6371,7.6371
229,(283 253),8.54656,8.54656
230,(11 145),6.65151,6.65151
231,(198 355),6.14948,6.14948
232,(63 397),8.4518,8.4518
233,(270 385),6.57811,6.57811
234,(425 324),7.82342,7.82342
235,(246 213),6.87201,6.87201
236,(31 106),6.80883,6.80883
237,(439 139),9.51308,9.51308
238,(417 331),5.90365,5.90365
239,(313 89),5.76785,5.76785
240,(387 331),6.38829,6.38829
241,(142 86),7.59499,7.59499
242,(235 257),7.55867,7.55867
243,(44 296),7.74941,7.74941
244,(280 239),9.8941,9.8941
245,(159 66),6.29261,6.29261
246,(227 253),8.96222,8.96222
247,(107 16),5.18998,5.18998
248,(131 74),5.72741,5.72741
249,(417 257),9.22178,9.22178
250,(80 227),7.53441,7.53441
251,(5 53),9.1319,9.1319
252,(9 249),6.00055,6.00055
253,(180 197),9.94339,9.94339
254,(456 113),9.00082,9.00082
255,(41 344),6.79312,6.79312
256,(233 13),9.4789,9.4789
257,(383 481),5.60869,5.60869
258,(9 396),9.61867,9.61867
259,(447 455),9.59227,9.59227
260,(6 455),5.55055,5.55055
261,(406 79),7.91772,7.91772
262,(144 340),5.91235,5.91235
263,(359 79),8.4077,8.4077
264,(148 311),7.81564,7.81564
265,(373 380),9.36155,9.36155
266,(417 479),6.76336,6.76336
267,(259 415),5.2945,5.2945
268,(331 396),8.38572,8.38572
269,(73 67),5.21546,5.21546
270,(46 269),5.19593,5.19593
271,(46 51),8.37397,8.37397
272,(30 58),6.49297,6.49297
273,(430 13),9.2555,9.2555
274,(59 80),9.70519,9.70519
275,(115 211),9.11496,9.11496
276,(481 29),7.49748,7.49748
277,(101 277),8.66039,8.66039
278,(198 177),7.46864,7.46864
279,(395 312),8.72768,8.72768
280,(238 202),5.89022,5.89022
281,(94 374),6.07593,6.07593
282,(131 295),9.28816,9.28816
283,(424 364),7.88751,7.88751
284,(285 176),8.38298,8.38298
285,(288 405),9.30326,9.30326
286,(191 474),8.60195,8.60195
287,(191 19),6.50685,6.50685
288,(405 157),5.67995,5.67995
289,(224 337),6.58345,6.58345
290,(189 395),9.41389,9.41389
291,(224 91),7.77566,7.77566
292,(365 369),9.02539,9.02539
293,(252 137),7.94855,7.94855
294,(36 470),5.48296,5.48296
295,(168 100),8.18674,8.18674
296,(104 86),5.11963,5.11963
297,(174 386),5.60244,5.60244
298,(202 269),5.6151,5.6151
299,(486 36),7.76803,7.76803
300,(429 369),5.49898,5.49898
301,(384 317),8.80734,8.80734
302,(328 488),7.40287,7.40287
303,(381 478),7.23731,7.23731
304,(138 277),8.97107,8.97107
305,(301 245),6.23722,6.23722
306,(12 224),9.25596,9.25596
307,(312 456),6.29978,6.29978
308,(37 365),8.20063,8.20063
309,(445 156),6.27445,6.27445
310,(304 124),8.06681,8.06681
311,(199 203),9.80773,9.80773
312,(440 111),9.04157,9.04157
313,(412 39),8.21116,8.21116
314,(144 353),7.3545,7.3545
315,(358 133),5.99857,5.99857
316,(78 146),8.70357,8.70357
317,(445 260),9.83062,9.83062
318,(462 289),8.23115,8.23115
319,(228 249),8.53435,8.53435
320,(214 64),6.3535,6.3535
321,(388 148),9.3318,9.3318
322,(12 259),8.03369,8.03369
323,(491 259),6.55568,6.55568
324,(44 333),7.23975,7.23975
325,(236 328),7.07007,7.07007
326,(206 16),8.96603,8.96603
327,(61 112),9.47478,9.47478
328,(61 207),8.93704,8.93704
329,(56 255),5.08042,5.08042
330,(333 150),6.59444,6.59444
331,(401 236),5.72176,5.72176
332,(431 402),5.80386,5.80386
333,(16 373),9.85275,9.85275
334,(71 176),5.54064,5.54064
335,(429 415),7.16605,7.16605
336,(46 54),5.24689,5.24689
337,(308 167),6.32756,6.32756
338,(220 293),7.21549,7.21549
339,(114 326),8.42891,8.42891
340,(121 147),6.88482,6.88482
341,(335 240),8.5818,8.5818
342,(449 67),6.9367,6.9367
343,(275 462),7.80862,7.80862
344,(84 261),8.20704,8.20704
345,(132 279),5.17182,5.17182
346,(255 194),5.27696,5.27696
347,(175 333),9.03531,9.03531
348,(288 161),7.82052,7.82052
349,(442 460),9.6054,9.6054
350,(239 317),5.98315,5.98315
351,(431 231),5.57436,5.57436
352,(95 2),9.87732,9.87732
353,(420 123),8.90606,8.90606
354,(343 7),5.31068,5.31068
355,(310 184),6.69774,6.69774
356,(319 415),5.77837,5.77837
357,(303 55),5.74511,5.74511
358,(372 442),5.11963,5.11963
359,(150 160),7.04108,7.04108
360,(86 216),6.74657,6.74657
361,(156 460),7.10547,7.10547
362,(102 212),9.57289,9.57289
363,(230 335),8.86685,8.86685
364,(371 280),8.36146,8.36146
365,(140 116),9.94736,9.94736
366,(207 239),7.78222,7.78222
367,(372 254),8.75011,8.75011
368,(326 54),5.65172,5.65172
369,(219 319),6.84423,6.84423
370,(16 223),7.24479,7.24479
371,(294 276),7.90811,7.90811
372,(220 415),9.83825,9.83825
373,(320 300),7.06046,7.06046
374,(393 193),5.4152,5.4152
375,(287 369),7.89041,7.89041
376,(22 244),5.31953,5.31953
377,(497 278),6.03412,6.03412
378,(216 173),9.25596,9.25596
379,(232 133),5.84887,5.84887
380,(44 55),7.99814,7.99814
381,(403 407),8.73867,8.73867
382,(256 339),5.10865,5.10865
383,(220 16),6.10752,6.10752
384,(257 459),8.53496,8.53496
385,(312 96),9.89013,9.89013
386,(322 223),8.73409,8.73409
387,(199 285),7.2486,7.2486
388,(425 395),6.63228,6.63228
389,(265 458),6.46748,6.46748
390,(408 391),7.85882,7.85882
391,(419 64),6.4362,6.4362
392,(48 414),9.93423,9.93423
393,(289 92),5.51912,5.51912
394,(184 114),7.07862,7.07862
395,(31 81),5.19471,5.19471
396,(133 425),8.63933,8.63933
397,(101 465),7.71737,7.71737
398,(400 258),7.45598,7.45598
399,(137 430),8.36009,8.36009
400,(19 394),9.42259,9.42259
401,(250 359),9.63683,9.63683
402,(348 280),5.66088,5.66088
403,(450 191),5.42482,5.42482
404,(443 350),9.75463,9.75463
405,(476 112),5.22034,5.22034
406,(395 371),9.99542,9.99542
407,(76 284),5.99429,5.99429
408,(74 336),6.21754,6.21754
409,(164 269),9.40504,9.40504
410,(322 15),8.14722,8.14722
411,(443 91),8.57204,8.57204
412,(217 342),7.90704,7.90704
413,(53 272),9.37284,9.37284
414,(338 315),9.01471,9.01471
415,(423 195),9.39512,9.39512
416,(339 215),8.51695,8.51695
417,(3 286),6.39866,6.39866
418,(169 129),8.44874,8.44874
419,(233 448),5.53591,5.53591
420,(146 122),8.1988,8.1988
421,(265 414),8.76263,8.76263
422,(387 492),6.25462,6.25462
423,(260 456),8.99213,8.99213
424,(21 358),8.79131,8.79131
425,(255 95),8.69442,8.69442
426,(497 306),9.29609,9.29609
427,(78 381),5.97888,5.97888
428,(183 439),8.51115,8.51115
429,(2 112),8.82138,8.82138
430,(9 340),8.04727,8.04727
431,(220 193),8.14829,8.14829
432,(400 16),9.70244,9.70244
433,(331 265),6.0857,6.0857
434,(208 335),6.43712,6.43712
435,(135 383),9.94766,9.94766
436,(320 74),5.73443,5.73443
437,(246 421),8.6021,8.6021
438,(341 184),7.32627,7.32627
439,(84 379),8.84274,8.84274
440,(333 141),5.64577,5.64577
441,(273 406),8.42311,8.42311
442,(415 471),8.46324,8.46324
443,(249 267),7.61849,7.61849
444,(407 440),7.62429,7.62429
445,(180 464),5.68133,5.68133
446,(309 420),6.26408,6.26408
447,(276 171),5.4796,5.4796
448,(289 110),9.91958,9.91958
449,(186 266),7.07831,7.07831
450,(415 238),7.25654,7.25654
451,(11 179),7.16895,7.16895
452,(422 422),5.28123,5.28123
453,(279 302),9.18653,9.18653
454,(40 284),9.53444,9.53444
455,(206 47),6.82134,6.82134
456,(311 163),7.5161,7.5161
457,(36 34),9.5352,9.5352
458,(303 413),9.06568,9.06568
459,(173 376),5.7738,5.7738
460,(147 61),6.25706,6.25706
461,(316 450),5.94821,5.94821
462,(251 499),8.19758,8.19758
463,(25 333),6.0477,6.0477
464,(53 122),8.54106,8.54106
465,(113 204),7.10303,7.10303
466,(131 318),6.20334,6.20334
467,(193 127),8.72616,8.72616
468,(165 281),8.28455,8.28455
469,(139 474),9.77783,9.77783
470,(77 201),9.21323,9.21323
471,(200 369),8.93933,8.93933
472,(90 19),7.25578,7.25578
473,(447 432),5.75777,5.75777
474,(109 430),9.373,9.373
475,(346 79),6.68325,6.68325
476,(263 411),8.63308,8.63308
477,(439 394),8.86914,8.86914
478,(384 47),5.5768,5.5768
479,(387 125),5.18525,5.18525
480,(487 204),6.74551,6.74551
481,(196 191),5.10636,5.10636
482,(334 401),5.6151,5.6151
483,(391 451),6.03793,6.03793
484,(278 461),9.08948,9.08948
485,(384 470),6.32694,6.32694
486,(333 60),7.08151,7.08151
487,(231 291),7.81869,7.81869
488,(233 432),9.21278,9.21278
489,(94 360),5.47655,5.47655
490,(143 86),6.88406,6.88406
491,(443 98),7.41508,7.41508
492,(1 402),6.56331,6.56331
493,(115 374),8.81848,8.81848
494,(342 467),6.70415,6.70415
495,(400 455),5.77349,5.77349
496,(227 167),6.89413,6.89413
497,(190 393),8.13166,8.13166
498,(199 494),9.24558,9.24558
499,(297 325),7.29118,7.29118
500,(250 409),9.31745,9.31745
501,(30 487),8.35047,8.35047
502,(112 170),7.61803,7.61803
503,(185 15),9.56877,9.56877
504,(178 86),8.60439,8.60439
505,(491 472),8.61034,8.61034
506,(405 343),7.70119,7.70119
507,(223 405),7.7427,7.7427
508,(320 186),8.8226,8.8226
509,(51 442),7.17231,7.17231
510,(209 35),5.82842,5.82842
511,(4 49),5.11734,5.11734
512,(122 117),6.9039,6.9039
513,(158 409),8.19178,8.19178
514,(80 296),6.63869,6.63869
515,(20 396),9.31486,9.31486
516,(125 77),7.2393,7.2393
517,(220 74),5.80294,5.80294
518,(84 95),8.43593,8.43593
519,(380 22),5.6595,5.6595
520,(368 63),5.89175,5.89175
521,(109 109),8.48567,8.48567
522,(369 310),5.90472,5.90472
523,(468 239),7.01956,7.01956
524,(107 20),5.52248,5.52248
525,(266 16),9.18378,9.18378
526,(158 229),7.52129,7.52129
527,(66 207),6.82104,6.82104
528,(441 398),9.62401,9.62401
529,(142 202),9.14609,9.14609
530,(70 262),7.50542,7.50542
531,(301 339),9.45555,9.45555
532,(125 200),7.15217,7.15217
533,(360 217),5.95462,5.95462
534,(382 358),9.6585,9.6585
535,(169 389),9.79751,9.79751
536,(396 18),6.15543,6.15543
537,(424 276),8.71273,8.71273
538,(275 264),7.92917,7.92917
539,(122 91),6.05426,6.05426
540,(234 140),7.48863,7.48863
541,(299 260),5.85803,5.85803
542,(122 209),6.05106,6.05106
543,(88 283),7.66228,7.66228
544,(45 225),7.20969,7.20969
545,(339 316),8.57433,8.57433
546,(318 7),6.09714,6.09714
547,(70 342),7.45216,7.45216
548,(263 20),8.75317,8.75317
549,(294 167),5.2646,5.2646
550,(346 78),8.29356,8.29356
551,(410 317),9.80056,9.80056
552,(234 243),8.47011,8.47011
553,(442 205),5.05966,5.05966
554,(145 168),6.93686,6.93686
555,(156 491),8.98556,8.98556
556,(379 306),5.63341,5.63341
557,(274 245),5.82705,5.82705
558,(235 181),9.75875,9.75875
559,(381 49),9.46776,9.46776
560,(487 89),5.49852,5.49852
561,(231 126),9.65194,9.65194
562,(217 282),5.58153,5.58153
563,(158 462),7.31208,7.31208
564,(268 104),6.51433,6.51433
565,(169 119),6.25645,6.25645
566,(286 410),7.60887,7.60887
567,(266 375),9.47295,9.47295
568,(48 211),5.27894,5.27894
569,(483 175),7.32826,7.32826
570,(38 38),7.19428,7.19428
571,(312 335),5.15702,5.15702
572,(282 23),5.33296,5.33296
573,(104 201),7.22495,7.22495
574,(392 340),5.4326,5.4326
575,(433 407),5.98758,5.98758
576,(185 161),8.3845,8.3845
577,(260 197),8.0253,8.0253
578,(24 343),7.41722,7.41722
579,(201 312),9.18439,9.18439
580,(309 408),9.05927,9.05927
581,(411 108),9.39344,9.39344
582,(331 413),6.5067,6.5067
583,(447 100),5.47975,5.47975
584,(386 148),6.77038,6.77038
585,(205 193),6.22806,6.22806
586,(178 345),8.446,8.446
587,(171 401),5.99246,5.99246
588,(456 364),5.80096,5.80096
589,(438 468),9.56282,9.56282
590,(36 470),7.68303,7.68303
591,(346 252),9.77172,9.77172
592,(89 267),7.19275,7.19275
593,(466 6),8.68603,8.68603
594,(119 120),5.72863,5.72863
595,(309 414),6.236,6.236
596,(7 215),8.53557,8.53557
597,(60 421),9.95285,9.95285
598,(117 489),8.89966,8.89966
599,(386 169),9.22346,9.22346
600,(138 158),5.25101,5.25101
601,(387 390),5.25193,5.25193
602,(328 419),5.29023,5.29023
603,(354 70),6.87094,6.87094
604,(322 490),9.46409,9.46409
605,(450 388),5.60305,5.60305
606,(447 149),8.31782,8.31782
607,(12 116),9.04263,9.04263
608,(400 151),5.0557,5.0557
609,(388 223),7.84707,7.84707
610,(254 52),6.68157,6.68157
611,(401 455),6.52654,6.52654
612,(266 271),9.99237,9.99237
613,(474 494),9.90173,9.90173
614,(179 487),8.0842,8.0842
615,(297 70),8.71685,8.71685
616,(349 477),9.52223,9.52223
617,(457 468),7.55104,7.55104
618,(490 88),6.55385,6.55385
619,(433 483),9.00113,9.00113
620,(223 402),6.33656,6.33656
621,(391 257),8.23603,8.23603
622,(490 156),5.71673,5.71673
623,(406 365),9.57259,9.57259
624,(280 252),6.28727,6.28727
625,(274 308),9.81658,9.81658
626,(374 134),7.8576,7.8576
627,(217 75),9.88311,9.88311
628,(20 496),5.7535,5.7535
629,(470 88),9.77172,9.77172
630,(364 208),6.11713,6.11713
631,(155 11),5.45915,5.45915
632,(211 69),9.25398,9.25398
633,(269 28),7.80953,7.80953
634,(51 419),9.6672,9.6672
635,(63 155),6.29719,6.29719
636,(409 69),8.39595,8.39595
637,(384 182),7.35343,7.35343
638,(178 339),9.20728,9.20728
639,(170 115),6.55721,6.55721
640,(288 340),5.75762,5.75762
641,(409 187),8.87356,8.87356
642,(339 409),7.62947,7.62947
643,(146 152),9.77554,9.77554
644,(294 44),9.79354,9.79354
645,(488 387),5.53346,5.53346
646,(458 404),8.1904,8.1904
647,(367 9),6.31169,6.31169
648,(150 492),9.36079,9.36079
649,(170 315),9.12,9.12
650,(143 14),5.03861,5.03861
651,(422 175),7.25333,7.25333
652,(291 304),8.95764,8.95764
653,(400 261),6.72384,6.72384
654,(186 53),8.43883,8.43883
655,(107 53),6.49129,6.49129
656,(291 388),8.26914,8.26914
657,(328 115),6.14277,6.14277
658,(48 284),9.53566,9.53566
659,(405 288),5.19074,5.19074
660,(145 318),7.11219,7.11219
661,(470 283),5.47273,5.47273
662,(173 127),7.00476,7.00476
663,(104 416),5.37141,5.37141
664,(314 182),9.3762,9.3762
665,(244 281),9.85824,9.85824
666,(428 453),5.43092,5.43092
667,(46 112),6.8186,6.8186
668,(104 464),7.04947,7.04947
669,(90 445),5.8681,5.8681
670,(139 63),7.75811,7.75811
671,(193 188),9.04309,9.04309
672,(253 237),7.93023,7.93023
673,(452 427),6.46962,6.46962
674,(424 290),6.65578,6.65578
675,(436 172),7.50893,7.50893
676,(101 303),8.10999,8.10999
677,(289 125),7.06412,7.06412
678,(431 218),7.14652,7.14652
679,(9 471),5.84658,5.84658
680,(321 440),7.828,7.828
681,(374 369),5.55788,5.55788
682,(50 267),5.33464,5.33464
683,(338 346),8.27219,8.27219
684,(320 94),6.78793,6.78793
685,(262 59),6.93396,6.93396
686,(137 419),5.58412,5.58412
687,(407 217),8.93002,8.93002
688,(91 275),7.53151,7.53151
689,(255 363),5.29527,5.29527
690,(362 363),5.98575,5.98575
691,(351 59),7.37739,7.37739
692,(301 499),7.96228,7.96228
693,(161 478),8.84701,8.84701
694,(157 288),9.4615,9.4615
695,(100 17),6.93228,6.93228
696,(427 23),6.61275,6.61275
697,(413 497),5.78631,5.78631
698,(491 234),5.34425,5.34425
699,(401 119),5.09857,5.09857
700,(201 288),6.75161,6.75161
701,(281 280),6.57094,6.57094
702,(40 421),8.78338,8.78338
703,(475 163),7.7929,7.7929
704,(129 337),7.92001,7.92001
705,(135 245),5.53163,5.53163
706,(197 405),7.81228,7.81228
707,(64 22),6.5862,6.5862
708,(88 31),5.99506,5.99506
709,(44 244),7.29987,7.29987
710,(292 158),5.43001,5.43001
711,(178 93),5.68438,5.68438
712,(362 129),5.37172,5.37172
713,(202 386),6.01871,6.01871
714,(95 126),6.53264,6.53264
715,(210 291),7.86248,7.86248
716,(358 436),9.35759,9.35759
717,(140 235),7.80572,7.80572
718,(290 462),7.04428,7.04428
719,(168 76),6.07181,6.07181
720,(419 305),7.37434,7.37434
721,(125 377),9.43617,9.43617
722,(276 494),5.08805,5.08805
723,(394 50),9.94293,9.94293
724,(29 422),5.05997,5.05997
725,(10 345),8.71624,8.71624
726,(87 186),6.54256,6.54256
727,(457 454),8.89569,8.89569
728,(303 146),5.86489,5.86489
729,(56 73),9.51369,9.51369
730,(84 306),9.82604,9.82604
731,(283 357),6.0828,6.0828
732,(271 23),5.2353,5.2353
733,(269 252),6.91671,6.91671
734,(326 264),7.25257,7.25257
735,(82 180),9.88067,9.88067
736,(258 391),5.97964,5.97964
737,(254 257),5.48692,5.48692
738,(426 291),7.80679,7.80679
739,(308 329),7.14759,7.14759
740,(202 354),5.90869,5.90869
741,(486 318),6.07837,6.07837
742,(391 211),8.67428,8.67428
743,(8 55),9.96963,9.96963
744,(278 320),6.34648,6.34648
745,(81 474),9.1879,9.1879
746,(313 436),5.37904,5.37904
747,(320 4),5.10941,5.10941
748,(74 134),7.60277,7.60277
749,(299 145),5.30946,5.30946
750,(16 143),7.8666,7.8666
751,(164 461),7.88171,7.88171
752,(251 394),5.00305,5.00305
753,(226 368),5.25819,5.25819
754,(330 171),7.37815,7.37815
755,(57 158),9.66811,9.66811
756,(488 183),6.56835,6.56835
757,(318 61),5.93356,5.93356
758,(165 259),6.45985,6.45985
759,(394 179),5.79623,5.79623
760,(465 126),5.93982,5.93982
761,(436 96),9.49126,9.49126
762,(94 80),6.95059,6.95059
763,(104 362),7.99707,7.99707
764,(310 62),6.64022,6.64022
765,(1 471),6.39149,6.39149
766,(65 357),8.29173,8.29173
767,(456 422),8.16141,8.16141
768,(252 213),6.26804,6.26804
769,(320 197),5.2945,5.2945
770,(423 359),6.00314,6.00314
771,(277 416),7.61467,7.61467
772,(48 303),6.71667,6.71667
773,(214 393),5.26841,5.26841
774,(276 75),7.66915,7.66915
775,(38 349),8.62743,8.62743
776,(40 135),9.01257,9.01257
777,(113 398),8.28181,8.28181
778,(214 140),6.2772,6.2772
779,(209 99),7.38044,7.38044
780,(487 437),8.86624,8.86624
781,(31 346),7.44713,7.44713
782,(114 333),8.25541,8.25541
783,(270 175),5.10514,5.10514
784,(31 446),6.52989,6.52989
785,(63 96),8.98618,8.98618
786,(108 411),6.04831,6.04831
787,(194 171),6.61534,6.61534
788,(458 18),7.05649,7.05649
789,(448 305),8.38389,8.38389
790,(17 432),7.58126,7.58126
791,(235 455),7.95053,7.95053
792,(137 294),9.55138,9.55138
793,(498 238),8.70098,8.70098
794,(223 264),7.44957,7.44957
795,(68 402),7.34916,7.34916
796,(399 205),6.51173,6.51173
797,(222 207),6.5125,6.5125
798,(21 447),7.18238,7.18238
799,(480 387),6.27186,6.27186
800,(421 102),6.85049,6.85049
801,(98 191),8.44417,8.44417
802,(44 43),9.42167,9.42167
803,(300 304),9.69054,9.69054
804,(349 15),8.69137,8.69137
805,(428 249),8.77041,8.77041
806,(157 398),8.36055,8.36055
807,(180 242),7.36473,7.36473
808,(161 419),5.53667,5.53667
809,(118 237),6.04816,6.04816
810,(420 15),6.28651,6.28651
811,(442 461),5.32334,5.32334
812,(273 195),6.89642,6.89642
813,(31 397),9.25138,9.25138
814,(349 390),8.57036,8.57036
815,(73 139),9.26954,9.26954
816,(208 194),6.97317,6.97317
817,(124 246),6.37532,6.37532
818,(237 372),6.94693,6.94693
819,(180 36),9.12824,9.12824
820,(339 267),7.49977,7.49977
821,(133 458),5.98285,5.98285
